anomaly_id,date,entity,metric,method,expected_value,actual_value,anomaly_score,severity
inventory_change|IQR|Abu Dhabi Distribution Center|2015-01-18 00:00:00|16,2015-01-18,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1749.0,22.98780487804878,High
inventory_change|IQR|Abu Dhabi Distribution Center|2015-05-03 00:00:00|121,2015-05-03,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1705.0,22.374564459930312,High
inventory_change|IQR|Sharjah Distribution Center|2016-10-30 00:00:00|667,2016-10-30,Sharjah Distribution Center,inventory_change,IQR,-35.0,1064.0,22.27777777777778,High
inventory_change|IQR|Ajman Distribution Center|2016-11-02 00:00:00|670,2016-11-02,Ajman Distribution Center,inventory_change,IQR,-79.5,2199.0,21.7,High
inventory_change|IQR|Abu Dhabi Distribution Center|2015-02-13 00:00:00|42,2015-02-13,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1656.0,21.691637630662022,High
inventory_change|IQR|Sharjah Distribution Center|2016-03-04 00:00:00|427,2016-03-04,Sharjah Distribution Center,inventory_change,IQR,-35.0,1036.0,21.655555555555555,High
inventory_change|IQR|Abu Dhabi Distribution Center|2015-05-30 00:00:00|148,2015-05-30,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1647.0,21.566202090592334,High
inventory_change|IQR|Ajman Distribution Center|2016-01-29 00:00:00|392,2016-01-29,Ajman Distribution Center,inventory_change,IQR,-79.5,2180.0,21.5,High
inventory_change|IQR|Dubai Distribution Center|2017-01-15 00:00:00|744,2017-01-15,Dubai Distribution Center,inventory_change,IQR,-84.0,2202.0,18.99074074074074,High
inventory_change|IQR|Dubai Distribution Center|2017-09-09 00:00:00|981,2017-09-09,Dubai Distribution Center,inventory_change,IQR,-84.0,2148.0,18.49074074074074,High
inventory_change|IQR|Ajman Distribution Center|2017-10-03 00:00:00|1005,2017-10-03,Ajman Distribution Center,inventory_change,IQR,-79.5,-1948.0,17.95263157894737,High
inventory_change|IQR|Abu Dhabi Distribution Center|2017-09-23 00:00:00|995,2017-09-23,Abu Dhabi Distribution Center,inventory_change,IQR,-52.0,1368.0,17.677700348432055,High
